;date;India;Japan;Hungary;Germany;US
0;2020-01-22;0;2;0;0;1
1;2020-01-23;0;2;0;0;1
2;2020-01-24;0;2;0;0;2
3;2020-01-25;0;2;0;0;2
4;2020-01-26;0;4;0;0;5
5;2020-01-27;0;4;0;1;5
6;2020-01-28;0;7;0;4;5
7;2020-01-29;0;7;0;4;6
8;2020-01-30;1;11;0;4;6
9;2020-01-31;1;15;0;5;8
10;2020-02-01;1;20;0;8;8
11;2020-02-02;2;20;0;10;8
12;2020-02-03;3;20;0;12;11
13;2020-02-04;3;22;0;12;11
14;2020-02-05;3;23;0;12;11
15;2020-02-06;3;23;0;12;12
16;2020-02-07;3;23;0;13;12
17;2020-02-08;3;24;0;13;12
18;2020-02-09;3;24;0;14;12
19;2020-02-10;3;26;0;14;12
20;2020-02-11;3;27;0;16;13
21;2020-02-12;3;28;0;16;13
22;2020-02-13;3;33;0;16;14
23;2020-02-14;3;43;0;16;14
24;2020-02-15;3;54;0;16;14
25;2020-02-16;3;60;0;16;14
26;2020-02-17;3;67;0;16;14
27;2020-02-18;3;79;0;16;14
28;2020-02-19;3;85;0;16;14
29;2020-02-20;3;95;0;16;14
30;2020-02-21;3;112;0;16;16
31;2020-02-22;3;137;0;16;16
32;2020-02-23;3;149;0;16;16
33;2020-02-24;3;160;0;16;16
34;2020-02-25;3;173;0;16;16
35;2020-02-26;3;192;0;21;16
36;2020-02-27;3;218;0;26;17
37;2020-02-28;3;236;0;53;17
38;2020-02-29;3;245;0;66;25
39;2020-03-01;3;259;0;117;32
40;2020-03-02;5;278;0;150;55
41;2020-03-03;5;298;0;188;74
42;2020-03-04;28;333;2;240;107
43;2020-03-05;30;365;2;349;184
44;2020-03-06;31;420;2;534;237
45;2020-03-07;34;466;4;684;403
46;2020-03-08;39;499;7;847;519
47;2020-03-09;43;527;9;1112;594
48;2020-03-10;56;585;9;1296;782
49;2020-03-11;62;640;13;1567;1147
50;2020-03-12;73;696;13;2369;1586
51;2020-03-13;82;733;19;3062;2219
52;2020-03-14;102;795;30;3795;2978
53;2020-03-15;113;826;32;4838;3212
54;2020-03-16;119;843;39;6012;4679
55;2020-03-17;142;893;50;7156;6512
56;2020-03-18;156;928;58;8198;9169
57;2020-03-19;194;968;73;10999;13663
58;2020-03-20;244;1022;85;13957;20030
59;2020-03-21;330;1059;103;16662;26025
60;2020-03-22;396;1104;131;18610;34944
61;2020-03-23;499;1144;167;22672;46096
62;2020-03-24;536;1217;187;27436;56714
63;2020-03-25;657;1314;226;31554;68841
64;2020-03-26;727;1416;261;36508;86662
65;2020-03-27;887;1530;300;42288;105253
66;2020-03-28;987;1728;343;48582;127417
67;2020-03-29;1024;1907;408;52547;143544
68;2020-03-30;1251;2001;447;57298;165698
69;2020-03-31;1397;2255;492;61913;192079
70;2020-04-01;1998;2535;525;67366;223254
71;2020-04-02;2543;2818;585;73522;255530
72;2020-04-03;2567;3154;623;79696;287931
73;2020-04-04;3082;3525;678;85778;319776
74;2020-04-05;3588;3876;733;91714;349016
75;2020-04-06;4778;4110;744;95391;380798
76;2020-04-07;5311;4485;817;99225;410834
77;2020-04-08;5916;5020;895;103228;441897
78;2020-04-09;6725;5614;980;108202;477507
79;2020-04-10;7598;6250;1190;113525;511790
80;2020-04-11;8446;6951;1310;117658;540714
81;2020-04-12;9205;7473;1410;120479;567022
82;2020-04-13;10453;7773;1458;123016;594165
83;2020-04-14;11487;8277;1512;125098;622493
84;2020-04-15;12322;8835;1579;127584;648390
